slovo, a, b, c, d, e, f
A, 65.72, 21.47, 18.83, 16.62, 131.44, 65.72
A, 29.63, 21.48, 61.78, 2.42, 59.26, 29.63
B, 23.16, 44.38, 37.47, 75.92, 46.32, 8.893
C, 35.28, 37.03, 90.19, 86.49, 70.56, 5.727
A, 79.43, 97.6, 82.58, 55.04, 158.86, 79.43
A, 72.57, 68.17, 22.27, 26.39, 145.14, 72.57
C, 40.15, 30.81, 3.67, 7.84, 80.3, 15.484
B, 92.46, 10.17, 56.94, 64.35, 184.92, 5.04
A, 46.36, 43.0, 37.12, 67.27, 92.72, 46.36
C, 64.46, 20.57, 90.71, 52.71, 128.92, 5.119
B, 8.1, 22.74, 62.02, 100.23, 16.2, 6.657
B, 80.69, 96.02, 31.43, 2.23, 161.38, 11.94
B, 22.98, 41.64, 3.33, 81.64, 45.96, 43.436
A, 47.62, 76.43, 35.61, 50.63, 95.24, 47.62
A, 6.89, 47.23, 5.35, 58.77, 13.78, 6.89
A, 97.13, 59.2, 29.56, 78.97, 194.26, 97.13
B, 21.01, 39.9, 77.38, 26.07, 42.02, 6.663
B, 96.02, 36.78, 50.03, 89.22, 192.04, 5.473
B, 100.89, 91.0, 93.81, 71.77, 201.78, 6.658
A, 68.64, 29.04, 50.59, 32.6, 137.28, 68.64
A, 7.66, 11.3, 86.25, 95.59, 15.32, 7.66
C, 1.8, 13.97, 64.98, 65.52, 3.6, 7.823
C, 79.94, 78.73, 19.41, 66.69, 159.88, 12.415
C, 20.03, 4.55, 27.56, 6.05, 40.06, 5.164
C, 90.8, 19.39, 22.7, 38.24, 181.6, 5.286
A, 11.15, 8.41, 79.61, 49.53, 22.3, 11.15
C, 17.2, 91.36, 93.54, 48.63, 34.4, 14.838
A, 66.48, 21.68, 46.54, 69.65, 132.96, 66.48
A, 97.58, 66.15, 92.01, 62.45, 195.16, 97.58
B, 99.23, 7.22, 86.72, 7.49, 198.46, 5.024
C, 90.07, 11.21, 41.74, 13.19, 180.14, 5.059
B, 55.35, 82.1, 70.19, 97.2, 110.7, 8.241
B, 53.75, 26.57, 8.08, 63.39, 107.5, 7.598
C, 54.62, 46.21, 24.09, 11.43, 109.24, 7.797
B, 74.75, 58.81, 77.5, 96.32, 149.5, 6.065
B, 83.48, 27.02, 47.1, 34.91, 166.96, 5.301
A, 100.47, 98.78, 51.49, 84.55, 200.94, 100.47
C, 54.6, 50.16, 38.75, 64.46, 109.2, 7.074
A, 17.07, 89.82, 43.34, 48.33, 34.14, 17.07
A, 89.9, 77.6, 69.34, 12.87, 179.8, 89.9
A, 36.25, 25.71, 30.17, 73.71, 72.5, 36.25
B, 71.23, 17.22, 41.52, 49.54, 142.46, 5.16
B, 35.88, 30.87, 11.32, 1.64, 71.76, 8.825
C, 100.32, 86.46, 98.03, 85.94, 200.64, 6.431
A, 4.99, 39.59, 48.68, 7.22, 9.98, 4.99
B, 79.97, 96.28, 73.81, 30.22, 159.94, 8.0
A, 24.05, 64.94, 76.21, 18.96, 48.1, 24.05
A, 64.24, 72.17, 20.18, 25.47, 128.48, 64.24
C, 68.58, 96.92, 94.52, 55.96, 137.16, 7.771
A, 54.79, 46.33, 95.19, 52.48, 109.58, 54.79
A, 62.13, 25.1, 52.83, 84.07, 124.26, 62.13
A, 69.49, 47.74, 83.55, 61.93, 138.98, 69.49
B, 2.07, 83.58, 45.21, 49.29, 4.14, 144.745
A, 37.58, 61.11, 76.97, 39.46, 75.16, 37.58
B, 48.08, 57.27, 53.34, 69.85, 96.16, 7.272
A, 100.92, 88.15, 50.98, 25.97, 201.84, 100.92
B, 88.53, 70.89, 65.24, 32.23, 177.06, 6.593
A, 17.23, 69.87, 100.27, 57.65, 34.46, 17.23
B, 27.55, 57.91, 94.6, 35.48, 55.1, 7.293
A, 45.91, 39.81, 27.11, 48.49, 91.82, 45.91
A, 74.02, 85.31, 46.32, 33.25, 148.04, 74.02
C, 25.85, 60.0, 34.34, 11.35, 51.7, 12.248
A, 36.43, 74.9, 88.54, 28.0, 72.86, 36.43
C, 20.84, 14.27, 86.75, 49.82, 41.68, 5.199
B, 65.03, 10.09, 40.14, 85.41, 130.06, 5.072
C, 79.27, 20.71, 31.76, 40.49, 158.54, 5.269
C, 53.98, 76.38, 31.28, 93.62, 107.96, 11.387
B, 61.29, 82.54, 33.08, 42.12, 122.58, 11.279
B, 54.84, 77.08, 35.46, 90.11, 109.68, 10.655
C, 19.73, 45.35, 8.22, 2.31, 39.46, 26.777
C, 71.28, 5.78, 31.36, 63.74, 142.56, 5.049
B, 20.79, 34.15, 36.36, 64.79, 41.58, 7.558
C, 69.31, 78.75, 57.35, 77.38, 138.62, 7.897
B, 25.9, 49.57, 92.77, 62.73, 51.8, 6.785
B, 85.88, 8.86, 21.61, 12.16, 171.76, 5.076
A, 92.68, 53.51, 38.0, 32.71, 185.36, 92.68
C, 58.73, 93.52, 8.95, 47.58, 117.46, 36.64
A, 10.14, 88.01, 87.27, 39.61, 20.28, 10.14
B, 30.98, 30.99, 69.48, 90.8, 61.96, 5.736
C, 42.48, 78.06, 76.56, 78.18, 84.96, 8.476
C, 53.23, 39.08, 15.18, 55.81, 106.46, 8.183
A, 11.09, 43.42, 98.69, 70.0, 22.18, 11.09
B, 97.18, 32.45, 35.57, 98.57, 194.36, 5.503
C, 28.12, 82.71, 90.11, 60.32, 56.24, 10.049
A, 16.63, 94.08, 3.68, 69.09, 33.26, 16.63
A, 6.44, 84.29, 48.56, 71.31, 12.88, 6.44
A, 60.29, 41.48, 59.85, 54.8, 120.58, 60.29
C, 49.86, 62.2, 12.46, 57.95, 99.72, 16.181
A, 9.38, 43.61, 72.04, 76.37, 18.76, 9.38
A, 54.5, 18.57, 86.01, 75.31, 109.0, 54.5
A, 35.03, 90.48, 38.08, 29.6, 70.06, 35.03
A, 87.35, 54.87, 61.81, 33.07, 174.7, 87.35
C, 29.39, 65.38, 71.18, 48.62, 58.78, 8.698
A, 58.16, 5.49, 15.6, 43.98, 116.32, 58.16
C, 39.92, 4.79, 15.62, 73.14, 79.84, 5.112
A, 71.76, 28.61, 67.13, 33.6, 143.52, 71.76
C, 64.34, 86.33, 52.13, 86.45, 128.68, 9.179
C, 20.51, 99.88, 84.67, 13.14, 41.02, 16.03
A, 56.95, 77.95, 13.47, 40.61, 113.9, 56.95
B, 71.98, 65.28, 80.11, 88.59, 143.96, 6.338
A, 90.69, 18.42, 30.7, 21.29, 181.38, 90.69
B, 69.14, 86.92, 5.84, 79.82, 138.28, 40.213
A, 75.79, 62.02, 6.38, 78.34, 151.58, 75.79
A, 99.77, 55.51, 27.77, 80.56, 199.54, 99.77
A, 23.38, 7.21, 11.11, 33.73, 46.76, 23.38
B, 46.82, 39.19, 9.67, 44.31, 93.64, 10.711
A, 82.17, 68.45, 20.62, 88.45, 164.34, 82.17
C, 58.69, 52.84, 11.41, 55.68, 117.38, 12.317
A, 53.0, 52.22, 51.79, 91.37, 106.0, 53.0
B, 1.37, 79.01, 88.52, 66.47, 2.74, 100.658
B, 11.18, 92.8, 32.31, 13.82, 22.36, 50.29
C, 74.02, 90.17, 56.14, 17.13, 148.04, 8.703
C, 90.21, 44.07, 12.04, 88.61, 180.42, 8.061
C, 98.32, 46.16, 4.91, 100.42, 196.64, 12.6
B, 69.55, 46.27, 29.6, 75.52, 139.1, 6.794
A, 26.13, 25.88, 51.12, 29.61, 52.26, 26.13
C, 2.72, 89.08, 13.85, 3.56, 5.44, 402.798
B, 87.96, 18.27, 87.85, 60.03, 175.92, 5.072
C, 18.99, 81.5, 43.72, 80.91, 37.98, 19.925
C, 70.61, 70.77, 96.19, 3.74, 141.22, 6.35
A, 48.98, 94.69, 76.95, 86.58, 97.96, 48.98
C, 14.43, 92.2, 56.57, 58.79, 28.86, 24.768
B, 75.99, 80.4, 33.33, 24.16, 151.98, 9.752
A, 49.85, 83.53, 48.4, 34.19, 99.7, 49.85
C, 13.45, 51.62, 22.19, 33.78, 26.9, 20.621
A, 66.8, 1.49, 53.52, 18.15, 133.6, 66.8
B, 7.71, 32.3, 83.23, 27.44, 15.42, 7.7
B, 56.01, 72.83, 21.75, 28.9, 112.02, 12.994
B, 5.21, 36.42, 23.69, 76.84, 10.42, 22.933
A, 45.05, 4.53, 80.29, 30.64, 90.1, 45.05
B, 63.44, 26.04, 41.06, 28.84, 126.88, 5.42
C, 72.92, 74.0, 73.9, 82.11, 145.84, 6.871
C, 59.56, 68.67, 66.22, 77.06, 119.12, 7.179
A, 27.38, 62.26, 47.3, 80.04, 54.76, 27.38
A, 91.3, 63.75, 33.32, 28.1, 182.6, 91.3
A, 26.9, 65.17, 11.41, 9.87, 53.8, 26.9
A, 7.0, 81.51, 81.27, 61.89, 14.0, 7.0
A, 76.8, 95.92, 15.95, 86.06, 153.6, 76.8
A, 70.41, 13.21, 17.68, 65.46, 140.82, 70.41
B, 55.45, 77.6, 72.09, 14.44, 110.9, 7.792
B, 81.71, 51.76, 33.09, 43.3, 163.42, 6.736
A, 6.78, 99.11, 15.2, 90.54, 13.56, 6.78
A, 21.41, 9.42, 69.08, 80.7, 42.82, 21.41
C, 91.48, 59.1, 82.1, 38.79, 182.96, 5.831
C, 66.49, 82.03, 69.06, 37.45, 132.98, 7.737
B, 76.09, 19.96, 47.17, 51.09, 152.18, 5.177
B, 21.32, 76.93, 33.4, 9.47, 42.64, 20.378
A, 29.91, 44.57, 22.79, 41.44, 59.82, 29.91
B, 36.88, 65.27, 91.39, 90.7, 73.76, 7.288
B, 80.01, 72.91, 91.09, 42.65, 160.02, 6.341
A, 31.84, 4.49, 47.25, 28.93, 63.68, 31.84
B, 87.15, 75.41, 7.68, 96.79, 174.3, 20.673
B, 92.14, 43.04, 74.12, 41.07, 184.28, 5.465
C, 26.6, 12.92, 95.8, 78.27, 53.2, 5.124
B, 52.9, 90.64, 64.25, 90.33, 105.8, 9.578
C, 12.97, 24.1, 79.83, 61.11, 25.94, 5.913
A, 73.58, 87.44, 100.92, 93.01, 147.16, 73.58
A, 61.45, 43.85, 81.25, 23.1, 122.9, 61.45
C, 49.94, 5.87, 96.91, 9.01, 99.88, 5.045
A, 69.75, 79.68, 4.09, 42.28, 139.5, 69.75
B, 13.3, 28.56, 55.6, 80.93, 26.6, 6.8
B, 16.43, 91.67, 40.73, 98.72, 32.86, 28.816
A, 29.15, 46.18, 90.68, 75.66, 58.3, 29.15
A, 19.65, 22.27, 21.47, 44.49, 39.3, 19.65
C, 1.62, 95.55, 100.55, 94.07, 3.24, 111.958
B, 55.27, 91.84, 97.59, 25.58, 110.54, 7.968
C, 47.7, 1.56, 10.75, 84.56, 95.4, 5.199
B, 86.48, 22.28, 79.12, 10.77, 172.96, 5.118
B, 26.0, 12.86, 77.07, 33.57, 52.0, 5.149
B, 8.01, 2.87, 55.03, 46.73, 16.02, 5.463
A, 79.78, 95.26, 85.33, 32.78, 159.56, 79.78
C, 69.46, 41.7, 47.05, 43.56, 138.92, 5.906
C, 42.47, 69.88, 14.52, 98.19, 84.94, 19.452
A, 3.95, 44.1, 88.22, 11.98, 7.9, 3.95
A, 51.02, 2.28, 68.34, 93.78, 102.04, 51.02
B, 76.22, 51.32, 49.21, 24.76, 152.44, 6.229
A, 24.75, 46.03, 32.5, 97.74, 49.5, 24.75
A, 32.81, 9.29, 18.54, 99.92, 65.62, 32.81
B, 88.87, 21.41, 93.65, 16.41, 177.74, 5.091
B, 77.38, 18.77, 89.7, 96.47, 154.76, 5.084
C, 7.63, 24.38, 15.0, 34.09, 15.26, 13.219
B, 4.71, 62.99, 64.71, 47.14, 9.42, 28.439
B, 3.05, 19.32, 21.46, 40.0, 6.1, 13.845
C, 74.24, 11.26, 55.99, 33.5, 148.48, 5.057
B, 24.91, 23.72, 85.29, 5.73, 49.82, 5.432
B, 4.53, 78.58, 19.73, 21.76, 9.06, 133.191
C, 28.3, 93.27, 63.9, 71.22, 56.6, 14.147
A, 36.2, 4.28, 98.86, 69.58, 72.4, 36.2
C, 55.43, 98.58, 50.83, 64.95, 110.86, 11.609
B, 80.35, 45.02, 89.21, 15.92, 160.7, 5.488
A, 27.41, 56.86, 21.18, 35.75, 54.82, 27.41
B, 74.46, 3.67, 51.52, 14.36, 148.92, 5.046
B, 21.36, 3.93, 19.16, 43.9, 42.72, 5.178
C, 96.72, 8.53, 57.96, 67.33, 193.44, 5.032
C, 100.09, 39.45, 89.98, 22.99, 200.18, 5.294
A, 6.0, 86.2, 37.24, 2.55, 12.0, 6.0
C, 6.48, 5.09, 88.22, 62.19, 12.96, 5.362
A, 46.72, 34.51, 98.01, 6.74, 93.44, 46.72
A, 89.85, 69.42, 69.68, 37.07, 179.7, 89.85
B, 33.89, 50.52, 75.42, 18.08, 67.78, 6.746
A, 58.85, 24.46, 52.66, 85.1, 117.7, 58.85
B, 44.3, 89.02, 96.61, 13.36, 88.6, 8.499
C, 50.19, 53.24, 29.11, 73.49, 100.38, 8.41
A, 64.21, 80.0, 27.27, 88.55, 128.42, 64.21
A, 47.07, 49.41, 87.08, 85.41, 94.14, 47.07
A, 8.05, 45.89, 58.81, 75.56, 16.1, 8.05
A, 47.2, 35.94, 93.24, 98.73, 94.4, 47.2
A, 25.07, 97.25, 53.1, 75.77, 50.14, 25.07
C, 76.36, 62.62, 12.22, 15.73, 152.72, 12.552
B, 70.15, 98.39, 12.65, 100.55, 140.3, 25.894
B, 29.82, 41.24, 52.64, 79.48, 59.64, 6.843
B, 32.31, 60.04, 86.84, 80.11, 64.62, 7.3
C, 67.37, 70.45, 5.74, 92.66, 134.74, 28.448
A, 23.06, 4.61, 26.17, 38.89, 46.12, 23.06
B, 75.74, 75.58, 80.54, 24.5, 151.48, 6.73
A, 13.61, 42.29, 85.98, 35.16, 27.22, 13.61
B, 50.03, 81.92, 90.75, 70.64, 100.06, 7.761
C, 29.28, 79.25, 72.49, 46.15, 58.56, 10.5
B, 37.09, 50.88, 66.16, 58.96, 74.18, 6.846
A, 100.27, 11.54, 95.16, 28.12, 200.54, 100.27
A, 29.05, 47.21, 61.19, 100.28, 58.1, 29.05
B, 91.96, 73.05, 83.13, 1.62, 183.92, 6.283
A, 66.35, 100.89, 49.41, 86.01, 132.7, 66.35
C, 69.62, 4.0, 48.26, 60.22, 139.24, 5.047
A, 27.21, 4.41, 37.38, 39.92, 54.42, 27.21
B, 17.35, 72.88, 60.22, 4.3, 34.7, 14.339
A, 31.7, 97.34, 82.68, 17.81, 63.4, 31.7
C, 74.9, 79.86, 89.06, 11.2, 149.8, 6.779
B, 20.63, 77.67, 79.76, 22.59, 41.26, 11.796
C, 20.85, 19.27, 54.25, 14.44, 41.7, 5.525
A, 39.44, 73.33, 5.7, 57.79, 78.88, 39.44
C, 87.19, 73.99, 77.63, 1.93, 174.38, 6.489
C, 62.53, 51.55, 34.09, 54.76, 125.06, 7.182
A, 58.86, 82.14, 37.93, 38.69, 117.72, 58.86
A, 39.83, 44.27, 53.38, 90.13, 79.66, 39.83
C, 88.24, 45.73, 74.83, 99.56, 176.48, 5.547
C, 35.57, 99.37, 60.82, 76.1, 71.14, 13.756
C, 19.05, 90.61, 23.02, 3.13, 38.1, 40.445
B, 31.64, 54.92, 92.43, 68.94, 63.28, 6.825
B, 75.86, 72.1, 35.75, 85.39, 151.72, 8.515
A, 39.8, 94.28, 35.9, 30.27, 79.6, 39.8
C, 8.75, 73.35, 82.22, 91.25, 17.5, 18.754
B, 97.83, 26.61, 16.91, 97.7, 195.66, 5.687
B, 19.03, 24.13, 20.58, 56.45, 38.06, 7.357
C, 69.72, 81.57, 31.7, 14.24, 139.44, 10.617
B, 66.9, 64.35, 33.9, 77.95, 133.8, 8.295
A, 68.53, 75.14, 100.77, 78.09, 137.06, 68.53
A, 46.34, 46.81, 66.62, 42.82, 92.68, 46.34
A, 88.71, 100.49, 45.85, 28.17, 177.42, 88.71
B, 32.73, 71.92, 9.07, 39.86, 65.46, 36.926
B, 93.99, 15.73, 21.27, 64.85, 187.98, 5.193
B, 54.1, 5.04, 71.11, 85.36, 108.2, 5.048
A, 52.05, 91.97, 34.55, 72.51, 104.1, 52.05
A, 16.13, 85.76, 96.79, 28.06, 32.26, 16.13
B, 22.96, 16.53, 37.68, 8.74, 45.92, 5.498
C, 84.34, 5.06, 9.08, 68.85, 168.68, 5.087
C, 32.0, 68.99, 36.87, 33.56, 64.0, 12.352
C, 50.12, 25.48, 66.48, 55.94, 100.24, 5.317
C, 94.84, 19.37, 80.05, 17.56, 189.68, 5.081
A, 2.12, 73.42, 80.56, 83.98, 4.24, 2.12
C, 5.02, 29.54, 28.21, 57.65, 10.04, 15.021
A, 79.88, 95.07, 49.24, 12.02, 159.76, 79.88
C, 5.23, 1.96, 37.66, 22.79, 10.46, 6.011
C, 16.01, 46.46, 90.06, 28.59, 32.02, 7.592
B, 92.79, 32.42, 61.2, 87.43, 185.58, 5.307
A, 31.24, 31.77, 24.78, 56.58, 62.48, 31.24
A, 2.29, 9.22, 88.9, 42.39, 4.58, 2.29
B, 68.11, 28.98, 91.0, 55.5, 136.22, 5.224
C, 92.37, 9.67, 53.54, 40.93, 184.74, 5.039
A, 63.03, 77.86, 6.89, 5.33, 126.06, 63.03
B, 63.64, 3.19, 44.88, 66.72, 127.28, 5.06
C, 1.32, 69.11, 41.36, 66.44, 2.64, 164.475
B, 80.8, 82.19, 99.6, 70.56, 161.6, 6.569
C, 41.44, 3.61, 41.13, 17.91, 82.88, 5.083
A, 75.58, 2.11, 41.9, 41.97, 151.16, 75.58
B, 16.43, 91.9, 2.44, 44.46, 32.86, 404.583
A, 25.08, 60.0, 49.12, 39.43, 50.16, 25.08
A, 89.67, 46.55, 40.78, 5.88, 179.34, 89.67
A, 48.06, 95.98, 21.34, 72.09, 96.12, 48.06
C, 2.55, 18.94, 68.73, 85.3, 5.1, 8.312
A, 2.62, 60.99, 79.89, 57.39, 5.24, 2.62
C, 90.36, 88.79, 4.32, 71.0, 180.72, 43.123
A, 11.81, 55.58, 36.83, 59.56, 23.62, 11.81
B, 96.19, 19.69, 19.54, 68.8, 192.38, 5.322
B, 93.26, 54.13, 40.8, 30.85, 186.52, 6.358
C, 31.62, 48.8, 58.03, 61.97, 63.24, 7.257
B, 9.29, 8.78, 74.61, 39.12, 18.58, 5.275
B, 11.19, 45.16, 18.05, 89.38, 22.38, 22.339
A, 38.3, 43.98, 10.51, 64.78, 76.6, 38.3
A, 71.47, 10.03, 64.43, 89.98, 142.94, 71.47
B, 89.56, 41.01, 65.37, 76.3, 179.12, 5.489
C, 92.39, 71.48, 36.51, 41.94, 184.78, 7.774
A, 74.36, 4.5, 88.04, 75.95, 148.72, 74.36
A, 39.03, 72.12, 39.67, 31.44, 78.06, 39.03
B, 62.76, 14.29, 30.38, 15.36, 125.52, 5.17
A, 72.0, 48.42, 57.11, 42.62, 144.0, 72.0
A, 99.58, 22.51, 16.18, 47.43, 199.16, 99.58
C, 24.58, 27.88, 73.01, 67.99, 49.16, 5.709
B, 17.37, 89.29, 79.66, 17.48, 34.74, 15.89
A, 78.55, 8.67, 90.58, 82.71, 157.1, 78.55
C, 26.6, 26.26, 15.26, 46.73, 53.2, 7.715
B, 23.02, 46.58, 47.7, 85.72, 46.04, 8.414
C, 30.94, 58.67, 21.66, 48.15, 61.88, 14.148
C, 71.64, 99.8, 30.49, 79.04, 143.28, 13.752
C, 57.24, 98.49, 77.79, 55.13, 114.48, 9.175
B, 68.31, 54.62, 33.9, 73.27, 136.62, 7.273
A, 95.24, 34.07, 13.93, 76.38, 190.48, 95.24
B, 78.52, 76.46, 4.34, 73.07, 157.04, 36.706
A, 89.26, 24.11, 80.67, 90.86, 178.52, 89.26
B, 87.52, 63.96, 62.32, 42.74, 175.04, 6.353
C, 65.52, 70.47, 18.15, 54.06, 131.04, 12.631
A, 13.31, 20.98, 60.55, 38.23, 26.62, 13.31
C, 76.45, 49.86, 10.05, 48.02, 152.9, 10.633
B, 45.89, 12.18, 70.98, 86.96, 91.78, 5.084
A, 82.73, 64.62, 91.1, 29.5, 165.46, 82.73
B, 58.75, 38.22, 55.62, 50.19, 117.5, 5.754
A, 100.7, 76.79, 34.06, 19.58, 201.4, 100.7
B, 96.26, 77.4, 95.36, 44.9, 192.52, 6.21
C, 33.75, 73.02, 30.65, 97.39, 67.5, 14.468
A, 33.15, 45.89, 88.03, 72.96, 66.3, 33.15
C, 35.65, 54.95, 49.86, 95.71, 71.3, 8.001
C, 58.29, 56.46, 14.07, 74.07, 116.58, 11.885
B, 81.6, 28.05, 73.26, 74.45, 163.2, 5.216
B, 67.48, 7.09, 26.44, 40.05, 134.96, 5.063
C, 33.98, 4.14, 98.51, 5.21, 67.96, 5.08
A, 54.92, 38.55, 4.3, 46.34, 109.84, 54.92
A, 82.92, 65.83, 53.46, 44.63, 165.84, 82.92
B, 51.74, 58.29, 23.71, 54.83, 103.48, 9.929
B, 67.74, 83.25, 30.59, 16.14, 135.48, 11.258
C, 16.81, 93.27, 98.07, 93.58, 33.62, 15.036
B, 69.74, 85.7, 100.6, 87.49, 139.48, 6.968
A, 30.59, 83.66, 96.06, 57.17, 61.18, 30.59
A, 20.44, 74.04, 76.7, 59.57, 40.88, 20.44
C, 7.16, 62.36, 77.55, 81.3, 14.32, 17.596
C, 13.78, 97.14, 52.99, 9.63, 27.56, 29.711
A, 2.63, 83.75, 8.62, 38.2, 5.26, 2.63
C, 16.59, 64.49, 47.69, 23.74, 33.18, 14.492
A, 95.58, 47.66, 60.27, 31.49, 191.16, 95.58
C, 64.7, 95.91, 6.65, 21.54, 129.4, 45.799
C, 85.88, 19.23, 63.87, 48.49, 171.76, 5.109
A, 6.19, 58.71, 18.37, 27.23, 12.38, 6.19
C, 20.76, 13.87, 29.63, 34.79, 41.52, 5.491
B, 70.76, 61.04, 87.83, 72.77, 141.52, 6.076
A, 62.93, 64.04, 81.74, 58.35, 125.86, 62.93
B, 25.85, 92.27, 82.27, 84.35, 51.7, 12.602
B, 47.47, 82.7, 44.74, 31.39, 94.94, 11.02
B, 14.32, 72.39, 27.55, 49.29, 28.64, 29.366
C, 34.42, 13.22, 80.02, 12.33, 68.84, 5.114
A, 20.02, 17.52, 100.61, 90.46, 40.04, 20.02
A, 29.96, 64.17, 30.18, 62.11, 59.92, 29.96
A, 52.69, 98.48, 31.1, 7.03, 105.38, 52.69
B, 75.11, 58.77, 17.83, 17.47, 150.22, 9.595
C, 88.52, 15.75, 67.23, 82.16, 177.04, 5.07
A, 34.73, 26.72, 76.66, 23.33, 69.46, 34.73
A, 89.23, 59.61, 93.03, 59.76, 178.46, 89.23
B, 80.36, 22.63, 96.8, 63.26, 160.72, 5.108
A, 43.4, 98.33, 44.37, 16.97, 86.8, 43.4
C, 72.95, 98.4, 64.19, 20.76, 145.9, 8.962
C, 39.02, 78.31, 16.48, 71.47, 78.04, 22.686
C, 62.71, 97.6, 57.03, 69.14, 125.42, 10.097
A, 63.46, 57.72, 75.96, 73.61, 126.92, 63.46
B, 48.36, 18.56, 95.35, 22.23, 96.72, 5.125
B, 98.32, 84.54, 49.33, 62.5, 196.64, 7.763
B, 44.41, 49.97, 96.72, 98.35, 88.82, 6.016
C, 62.1, 34.44, 6.46, 20.91, 124.2, 9.889
C, 97.46, 47.77, 34.73, 27.16, 194.92, 6.168
B, 87.84, 49.77, 80.73, 48.32, 175.68, 5.61
C, 91.73, 53.11, 45.33, 39.07, 183.46, 6.193
A, 14.94, 97.72, 64.92, 41.71, 29.88, 14.94
B, 83.1, 51.92, 7.47, 24.17, 166.2, 12.602
B, 64.42, 99.05, 1.59, 96.19, 128.84, 188.615
A, 56.32, 98.97, 65.85, 2.73, 112.64, 56.32
C, 75.82, 14.63, 97.32, 48.66, 151.64, 5.052
C, 6.95, 13.9, 6.5, 4.37, 13.9, 11.323
C, 43.55, 27.2, 19.03, 30.71, 87.1, 6.435
A, 85.93, 29.13, 72.38, 87.62, 171.86, 85.93
B, 85.4, 99.22, 9.61, 54.04, 170.8, 28.002
A, 89.64, 49.2, 98.0, 14.15, 179.28, 89.64
B, 54.06, 81.58, 67.5, 69.9, 108.12, 8.404
C, 12.68, 90.8, 97.19, 50.96, 25.36, 17.676
C, 99.61, 3.94, 13.97, 63.55, 199.22, 5.057
A, 8.53, 73.32, 88.24, 9.8, 17.06, 8.53
C, 75.43, 28.68, 18.52, 97.22, 150.86, 5.954
C, 73.27, 35.03, 46.38, 77.01, 146.54, 5.602
B, 90.96, 29.68, 7.45, 67.52, 181.92, 7.109
C, 55.57, 96.32, 38.31, 6.51, 111.14, 13.323
B, 62.07, 34.78, 46.46, 50.67, 124.14, 5.699
A, 77.52, 49.58, 1.16, 64.22, 155.04, 77.52
A, 44.16, 40.24, 97.35, 100.38, 88.32, 44.16
B, 99.65, 30.78, 42.06, 4.59, 199.3, 5.371
C, 85.07, 64.72, 30.7, 59.07, 170.14, 7.897
A, 74.28, 25.52, 74.8, 30.53, 148.56, 74.28
C, 39.51, 84.57, 5.9, 40.32, 79.02, 62.516
B, 70.8, 53.82, 59.46, 9.71, 141.6, 6.213
B, 39.1, 62.24, 33.92, 91.66, 78.2, 10.247
C, 31.1, 29.55, 27.39, 57.42, 62.2, 6.668
B, 82.81, 89.46, 73.85, 63.49, 165.62, 7.474
B, 46.49, 98.44, 80.7, 4.67, 92.98, 9.949
A, 65.25, 24.29, 57.62, 36.58, 130.5, 65.25
C, 65.56, 94.0, 34.18, 15.56, 131.12, 12.505
C, 97.9, 36.08, 1.35, 82.53, 195.8, 21.388
C, 65.04, 43.16, 29.3, 25.72, 130.08, 6.67
A, 41.84, 24.66, 66.82, 68.08, 83.68, 41.84
A, 98.95, 47.51, 59.39, 46.22, 197.9, 98.95
C, 98.12, 71.13, 69.14, 93.06, 196.24, 6.366
B, 99.38, 10.68, 41.12, 93.56, 198.76, 5.051
C, 63.28, 42.75, 39.06, 63.25, 126.56, 6.263
C, 93.32, 93.46, 50.24, 62.1, 186.64, 8.543
C, 68.01, 35.92, 55.0, 86.93, 136.02, 5.577
B, 34.1, 83.46, 90.22, 29.95, 68.2, 9.24
B, 66.79, 64.58, 54.09, 18.53, 133.58, 7.085
A, 73.55, 69.42, 79.26, 70.41, 147.1, 73.55
C, 100.94, 31.35, 62.79, 46.1, 201.88, 5.256
A, 53.85, 95.4, 11.8, 30.5, 107.7, 53.85
B, 45.17, 19.17, 44.6, 38.82, 90.34, 5.29
A, 25.3, 96.61, 49.6, 17.02, 50.6, 25.3
B, 99.69, 50.54, 41.23, 73.22, 199.38, 6.085
A, 57.77, 59.52, 36.51, 37.21, 115.54, 57.77
B, 53.27, 28.65, 63.96, 28.03, 106.54, 5.395
B, 58.63, 71.01, 7.25, 27.9, 117.26, 26.697
B, 83.08, 8.43, 29.6, 68.17, 166.16, 5.057
A, 31.59, 66.51, 16.31, 55.31, 63.18, 31.59
A, 74.32, 88.4, 75.41, 28.34, 148.64, 74.32
C, 31.87, 16.8, 50.76, 24.93, 63.74, 5.28
B, 84.56, 25.29, 69.72, 4.08, 169.12, 5.177
A, 70.31, 97.44, 87.54, 89.53, 140.62, 70.31
A, 68.53, 84.71, 42.11, 65.41, 137.06, 68.53
C, 100.72, 34.35, 43.67, 16.42, 201.44, 5.446
A, 61.99, 24.86, 37.15, 19.7, 123.98, 61.99
A, 45.1, 78.32, 17.38, 100.95, 90.2, 45.1
B, 73.07, 69.04, 77.21, 57.57, 146.14, 6.541
C, 75.11, 48.37, 56.49, 38.87, 150.22, 5.958
C, 45.48, 64.27, 26.77, 46.66, 90.96, 11.121
B, 63.77, 65.65, 10.29, 5.66, 127.54, 16.882
B, 70.86, 89.84, 66.21, 36.07, 141.72, 8.254
A, 33.04, 25.29, 25.44, 80.2, 66.08, 33.04
B, 54.97, 88.6, 76.58, 59.32, 109.94, 8.521
